Timestamp;ec45_target_rpm;now_ec45_current;now_ec45_rpm
4000;0;-63;0
16000;0;0;0
28000;0;32;0
40000;0;22;0
52000;0;-63;0
64000;0;-15;0
76000;0;0;0
88000;0;0;0
100000;0;101;0
112000;0;-15;0
124000;0;70;0
136000;0;0;0
147000;0;-37;0
158000;0;-26;0
172000;0;0;0
185000;0;43;0
197000;0;-15;0
208000;0;0;0
221000;0;-37;0
234000;0;-37;0
246000;0;6;0
258000;0;0;0
269000;0;22;0
281000;0;80;0
294000;0;0;0
306000;0;6;0
318000;0;0;0
329000;0;-37;0
341000;0;-26;0
353000;0;-26;0
365000;0;-63;0
377000;0;43;0
389000;0;117;0
401000;0;22;0
413000;0;59;0
425000;0;-15;0
437000;0;-100;0
449000;0;-31;0
460000;0;-37;0
472000;0;0;0
484000;0;0;0
497000;0;32;0
509000;0;-15;0
520000;0;59;0
533000;0;59;0
545000;0;-122;0
557000;0;32;0
569000;0;22;0
581000;0;22;0
594000;0;0;0
607000;0;0;0
619000;0;22;0
630000;0;22;0
642000;0;-15;0
655000;0;165;0
667000;0;22;0
679000;0;22;0
691000;0;6;0
702000;0;59;0
714000;0;139;0
726000;0;-37;0
738000;0;22;0
750000;0;-37;0
762000;0;22;0
774000;0;-26;0
786000;0;-15;0
798000;0;-63;0
810000;0;-37;0
822000;0;43;0
834000;0;-15;0
846000;0;43;0
858000;0;-37;0
870000;0;-90;0
881000;0;-37;0
893000;0;-15;0
905000;0;-85;0
917000;0;-37;0
928000;0;-15;0
941000;0;91;0
952000;0;11;0
964000;0;0;0
975000;0;-100;0
987000;0;0;0
1001000;0;-15;0
1013000;0;-63;0
1024000;0;-37;0
1036000;0;-53;0
1048000;0;-26;0
1061000;0;-85;0
1072000;0;59;0
1084000;0;22;0
1096000;0;0;0
1108000;0;22;0
1120000;0;80;0
1132000;0;139;0
1144000;0;43;0
1157000;0;32;0
1169000;0;-63;0
1181000;0;27;0
1194000;0;-26;0
1206000;0;22;0
1218000;0;43;0
1230000;0;-37;0
1242000;0;-15;0
1253000;0;-15;0
1265000;0;-15;0
1277000;0;-15;0
1289000;0;-15;0
1301000;0;-15;0
1313000;0;-15;0
1325000;0;32;0
1337000;0;59;0
1349000;0;-100;0
1361000;0;22;0
1373000;0;0;0
1385000;0;-37;0
1397000;0;-37;0
1409000;0;-37;0
1421000;0;-37;0
1433000;0;-37;0
1444000;0;-37;0
1456000;0;0;0
1468000;0;32;0
1480000;0;0;0
1492000;0;-74;0
1504000;0;59;0
1516000;0;59;0
1528000;0;59;0
1538000;0;59;0
1549000;0;59;0
1562000;0;59;0
1574000;0;59;0
1585000;0;59;0
1598000;0;80;0
1610000;0;80;0
1623000;0;-63;0
1636000;0;-63;0
1648000;0;-63;0
1660000;0;-63;0
1672000;0;-63;0
1685000;0;-63;0
1697000;0;-63;0
1708000;0;-63;0
1721000;0;-63;0
1732000;0;-63;0
1743000;0;-63;0
1754000;0;-63;0
1766000;0;-63;0
1777000;0;-63;0
1789000;0;-63;0
1801000;0;-63;0
1813000;0;-63;0
1824000;0;-63;0
1836000;0;-63;0
1848000;0;-63;0
1860000;0;-63;0
1872000;0;-63;0
1884000;0;-63;0
1896000;0;-63;0
1908000;0;-63;0
1920000;0;-63;0
1932000;0;-63;0
1944000;0;-63;0
1956000;0;-63;0
1968000;0;-63;0
1980000;0;-63;0
1992000;0;-63;0
2004000;0;-63;0
2016000;0;-63;0
2028000;0;-63;0
2040000;0;-63;0
2052000;0;-63;0
2064000;0;-63;0
2076000;0;-63;0
2088000;0;-63;0
2100000;0;-63;0
2111000;0;-63;0
2124000;0;-63;0
2136000;0;-63;0
2147000;0;-63;0
2160000;0;-63;0
2172000;0;-63;0
2185000;0;-63;0
2197000;0;-63;0
2208000;0;-63;0
2220000;0;-63;0
2232000;0;-63;0
2245000;0;-63;0
2257000;-23000;-63;0
2269000;-23000;-63;0
2281000;-23000;-63;0
2293000;-23000;-63;0
2305000;-23000;-63;0
2318000;-23000;-63;0
2330000;-23000;-63;0
2342000;-23000;-63;0
2354000;-23000;-63;0
2366000;-23000;-63;0
2377000;-23000;-63;0
2389000;-23000;-63;0
2402000;-23000;-63;0
2414000;-23000;-63;0
2427000;-23000;-63;0
2439000;-23000;-63;0
2451000;-23000;-63;0
2463000;-23000;-63;0
2474000;-23000;-63;0
2487000;-23000;-63;0
2500000;-23000;-63;0
2512000;-23000;-63;0
2523000;-23000;-63;0
2535000;-23000;-63;0
2548000;-23000;-63;0
2561000;-23000;-63;0
2572000;-23000;-63;0
2584000;-23000;-63;0
2595000;-23000;-63;0
2606000;-23000;-63;0
2618000;-23000;-63;0
2630000;-23000;-63;0
2642000;-23000;-63;0
2654000;-23000;-63;0
2666000;-23000;-63;0
2678000;-23000;-63;0
2690000;-23000;-63;0
2702000;-23000;-63;0
2714000;-23000;-63;0
2726000;-23000;-63;0
2738000;-23000;-63;0
2750000;-23000;-63;0
2762000;-23000;-63;0
2774000;-23000;-63;0
2786000;-23000;-63;0
2798000;-23000;-63;0
2810000;-23000;-63;0
2821000;-23000;-63;0
2832000;-23000;-63;0
